amp,freq,stime,stime_minimum,gene_id,prc2
300,1.2,"Any[105.4, 105.4, 105.4, 105.3, 105.3, 105.4, 105.4, 105.4, 105.4, 105.4, 105.3, 105.3, 105.4, 105.4, 105.4]",105.3,49,0.25
300,1.3,"Any[105.4, 105.3, 105.3, 105.4, 105.4, 105.4, 105.4, 105.4, 105.3, 105.3, 105.4, 105.4, 105.4, 105.4, 105.4]",105.3,49,0.25
300,1.4,"Any[105.3, 105.3, 105.4, 105.4, 105.4, 105.4, 105.4, 105.3, 105.3, 105.4, 105.4, 105.4, 105.4, 105.4, 105.3]",105.3,49,0.25
300,1.5,"Any[105.3, 105.4, 105.4, 105.4, 105.4, 105.4, 105.3, 105.3, 105.4, 105.4, 105.4, 105.4, 105.4, 105.3, 105.3]",105.3,49,0.25
300,1.6,"Any[105.4, 105.4, 105.4, 105.4, 105.4, 105.3, 105.3, 105.4, 105.4, 105.4, 105.4, 105.4, 105.3, 105.3, 105.4]",105.3,49,0.25
300,1.7,"Any[105.4, 105.4, 105.4, 105.3, 105.3, 105.4, 105.4, 105.4, 105.4, 105.4, 105.3, 105.3, 105.4, 105.4, 105.4]",105.3,49,0.25
300,1.8,"Any[105.4, 105.4, 105.3, 105.3, 105.4, 105.4, 105.4, 105.4, 105.4, 105.3, 105.3, 105.4, 105.4, 105.4, 105.4]",105.3,49,0.25
300,1.9,"Any[105.4, 105.3, 105.4, 105.4, 105.4, 105.4, 105.4, 105.4, 105.3, 105.4, 105.4, 105.4, 105.4, 105.4, 105.4]",105.3,49,0.25
300,2.0,"Any[105.3, 105.4, 105.4, 105.4, 105.4, 105.4, 105.4, 105.3, 105.4, 105.4, 105.4, 105.4, 105.4, 105.4, 105.3]",105.3,49,0.25
100,0.0,"Any[107.0, 107.2, 108.3, 116.3, 116.3, 108.3, 107.2, 107.0, 107.2, 108.3, 116.3, 116.3, 108.3, 107.2, 107.0]",107.0,49,0.3
100,0.1,"Any[108.5, 115.2, 111.6, 108.4, 107.3, 107.0, 107.2, 108.5, 115.2, 111.6, 108.4, 107.3, 107.0, 107.2, 108.5]",107.0,49,0.3
100,0.2,"Any[110.5, 108.7, 107.5, 107.1, 107.3, 109.4, 111.8, 110.5, 108.7, 107.5, 107.1, 107.3, 109.4, 111.8, 110.5]",107.1,49,0.3
100,0.3,"Any[107.7, 107.3, 107.6, 109.4, 110.4, 109.9, 108.9, 107.7, 107.3, 107.6, 109.4, 110.4, 109.9, 108.9, 107.7]",107.3,49,0.3
100,0.4,"Any[108.0, 109.1, 109.7, 109.5, 108.9, 108.3, 107.6, 108.0, 109.1, 109.7, 109.5, 108.9, 108.3, 107.6, 108.0]",107.6,49,0.3
100,0.5,"Any[109.2, 109.2, 109.0, 108.8, 108.5, 108.3, 108.8, 109.2, 109.2, 109.0, 108.8, 108.5, 108.3, 108.8, 109.2]",108.3,49,0.3
100,0.6,"Any[109.2, 109.1, 109.0, 108.7, 108.7, 108.9, 109.1, 109.2, 109.1, 109.0, 108.7, 108.7, 108.9, 109.1, 109.2]",108.7,49,0.3
100,0.7,"Any[109.1, 109.0, 108.7, 108.8, 109.0, 109.2, 109.2, 109.1, 109.0, 108.7, 108.8, 109.0, 109.2, 109.2, 109.1]",108.7,49,0.3
100,0.8,"Any[109.0, 108.8, 108.9, 109.1, 109.2, 109.1, 109.1, 109.0, 108.8, 108.9, 109.1, 109.2, 109.1, 109.1, 109.0]",108.8,49,0.3
100,0.9,"Any[108.9, 109.0, 109.1, 109.1, 109.2, 109.1, 109.0, 108.9, 109.0, 109.1, 109.1, 109.2, 109.1, 109.0, 108.9]",108.9,49,0.3
100,1.0,"Any[109.0, 109.1, 109.2, 109.2, 109.1, 108.9, 108.9, 109.0, 109.1, 109.2, 109.2, 109.1, 108.9, 108.9, 109.0]",108.9,49,0.3
100,1.1,"Any[109.1, 109.2, 109.1, 109.1, 108.9, 109.0, 109.1, 109.1, 109.2, 109.1, 109.1, 108.9, 109.0, 109.1, 109.1]",108.9,49,0.3
100,1.2,"Any[109.2, 109.2, 109.1, 109.0, 109.0, 109.1, 109.1, 109.2, 109.2, 109.1, 109.0, 109.0, 109.1, 109.1, 109.2]",109.0,49,0.3
100,1.3,"Any[109.2, 109.0, 109.0, 109.0, 109.1, 109.2, 109.2, 109.2, 109.0, 109.0, 109.0, 109.1, 109.2, 109.2, 109.2]",109.0,49,0.3
100,1.4,"Any[109.0, 109.0, 109.1, 109.1, 109.2, 109.2, 109.1, 109.0, 109.0, 109.1, 109.1, 109.2, 109.2, 109.1, 109.0]",109.0,49,0.3
100,1.5,"Any[109.0, 109.1, 109.1, 109.1, 109.1, 109.1, 109.0, 109.0, 109.1, 109.1, 109.1, 109.1, 109.1, 109.0, 109.0]",109.0,49,0.3
100,1.6,"Any[109.1, 109.1, 109.2, 109.2, 109.1, 109.0, 109.1, 109.1, 109.1, 109.2, 109.2, 109.1, 109.0, 109.1, 109.1]",109.0,49,0.3
