freq,amp,stime,prc2,gene_id
0.2,250,1.57,0.1,43
0.3,250,1.57,0.1,43
0.4,250,1.57,0.1,43
0.5,250,1.57,0.1,43
0.6,250,1.57,0.1,43
0.7,250,1.57,0.1,43
0.8,250,1.57,0.1,43
0.9,250,1.57,0.1,43
1.0,250,1.57,0.1,43
0.0,300,1.56,0.1,43
0.1,300,1.57,0.1,43
0.2,300,1.57,0.1,43
0.3,300,1.57,0.1,43
0.4,300,1.57,0.1,43
0.5,300,1.57,0.1,43
0.6,300,1.57,0.1,43
0.7,300,1.57,0.1,43
0.8,300,1.57,0.1,43
0.9,300,1.57,0.1,43
1.0,300,1.57,0.1,43
0.0,50,2.1,0.15,43
0.1,50,2.09,0.15,43
0.2,50,2.09,0.15,43
0.3,50,2.09,0.15,43
0.4,50,2.09,0.15,43
0.5,50,2.09,0.15,43
0.6,50,2.09,0.15,43
0.7,50,2.09,0.15,43
0.8,50,2.09,0.15,43
0.9,50,2.09,0.15,43
1.0,50,2.09,0.15,43
0.0,100,2.08,0.15,43
0.1,100,2.07,0.15,43
0.2,100,2.07,0.15,43
0.3,100,2.07,0.15,43
0.4,100,2.07,0.15,43
0.5,100,2.07,0.15,43
0.6,100,2.07,0.15,43
0.7,100,2.07,0.15,43
0.8,100,2.07,0.15,43
0.9,100,2.07,0.15,43
1.0,100,2.07,0.15,43
0.0,150,2.08,0.15,43
0.1,150,2.07,0.15,43
0.2,150,2.07,0.15,43
0.3,150,2.07,0.15,43
0.4,150,2.07,0.15,43
0.5,150,2.07,0.15,43
0.6,150,2.07,0.15,43
0.7,150,2.07,0.15,43
0.8,150,2.07,0.15,43
0.9,150,2.07,0.15,43
1.0,150,2.07,0.15,43
0.0,200,2.07,0.15,43
0.1,200,2.05,0.15,43
0.2,200,2.05,0.15,43
0.3,200,2.05,0.15,43
0.4,200,2.05,0.15,43
0.5,200,2.05,0.15,43
0.6,200,2.05,0.15,43
0.7,200,2.05,0.15,43
0.8,200,2.05,0.15,43
0.9,200,2.05,0.15,43
1.0,200,2.05,0.15,43
0.0,250,2.07,0.15,43
0.1,250,2.09,0.15,43
0.2,250,2.09,0.15,43
0.3,250,2.09,0.15,43
0.4,250,2.09,0.15,43
0.5,250,2.09,0.15,43
0.6,250,2.09,0.15,43
0.7,250,2.09,0.15,43
0.8,250,2.09,0.15,43
0.9,250,2.09,0.15,43
1.0,250,2.09,0.15,43
0.0,300,2.08,0.15,43
0.1,300,2.09,0.15,43
0.2,300,2.09,0.15,43
0.3,300,2.09,0.15,43
0.4,300,2.09,0.15,43
0.5,300,2.09,0.15,43
0.6,300,2.09,0.15,43
0.7,300,2.09,0.15,43
0.8,300,2.09,0.15,43
0.9,300,2.09,0.15,43
1.0,300,2.09,0.15,43
0.0,50,2.71,0.2,43
0.1,50,2.73,0.2,43
0.2,50,2.73,0.2,43
0.3,50,2.73,0.2,43
0.4,50,2.73,0.2,43
0.5,50,2.73,0.2,43
0.6,50,2.73,0.2,43
0.7,50,2.73,0.2,43
0.8,50,2.73,0.2,43
0.9,50,2.73,0.2,43
1.0,50,2.73,0.2,43
0.0,100,2.73,0.2,43
0.1,100,2.71,0.2,43
0.2,100,2.71,0.2,43
0.3,100,2.71,0.2,43
0.4,100,2.71,0.2,43
0.5,100,2.71,0.2,43
0.6,100,2.71,0.2,43
0.7,100,2.71,0.2,43
0.8,100,2.71,0.2,43
0.9,100,2.71,0.2,43
1.0,100,2.71,0.2,43
0.0,150,2.72,0.2,43
0.1,150,2.71,0.2,43
0.2,150,2.71,0.2,43
0.3,150,2.71,0.2,43
0.4,150,2.71,0.2,43
0.5,150,2.71,0.2,43
0.6,150,2.71,0.2,43
0.7,150,2.71,0.2,43
0.8,150,2.71,0.2,43
0.9,150,2.71,0.2,43
1.0,150,2.71,0.2,43
0.0,200,2.71,0.2,43
0.1,200,2.73,0.2,43
0.2,200,2.73,0.2,43
0.3,200,2.73,0.2,43
0.4,200,2.73,0.2,43
0.5,200,2.73,0.2,43
0.6,200,2.73,0.2,43
0.7,200,2.73,0.2,43
0.8,200,2.73,0.2,43
0.9,200,2.73,0.2,43
1.0,200,2.73,0.2,43
0.0,250,2.71,0.2,43
0.1,250,2.73,0.2,43
0.2,250,2.73,0.2,43
0.3,250,2.73,0.2,43
0.4,250,2.73,0.2,43
0.5,250,2.73,0.2,43
0.6,250,2.73,0.2,43
0.7,250,2.73,0.2,43
0.8,250,2.73,0.2,43
0.9,250,2.73,0.2,43
1.0,250,2.73,0.2,43
0.0,300,2.72,0.2,43
0.1,300,2.69,0.2,43
0.2,300,2.69,0.2,43
0.3,300,2.69,0.2,43
0.4,300,2.69,0.2,43
0.5,300,2.69,0.2,43
0.6,300,2.69,0.2,43
0.7,300,2.69,0.2,43
0.8,300,2.69,0.2,43
0.9,300,2.69,0.2,43
1.0,300,2.69,0.2,43
0.0,50,3.67,0.25,43
0.1,50,3.65,0.25,43
0.2,50,3.65,0.25,43
0.3,50,3.65,0.25,43
0.4,50,3.65,0.25,43
0.5,50,3.65,0.25,43
0.6,50,3.65,0.25,43
0.7,50,3.65,0.25,43
0.8,50,3.65,0.25,43
0.9,50,3.66,0.25,43
1.0,50,3.66,0.25,43
0.0,100,3.64,0.25,43
0.1,100,3.62,0.25,43
0.2,100,3.62,0.25,43
0.3,100,3.62,0.25,43
0.4,100,3.62,0.25,43
0.5,100,3.62,0.25,43
0.6,100,3.62,0.25,43
0.7,100,3.62,0.25,43
0.8,100,3.62,0.25,43
0.9,100,3.63,0.25,43
1.0,100,3.64,0.25,43
0.0,150,3.63,0.25,43
0.1,150,3.61,0.25,43
0.2,150,3.61,0.25,43
0.3,150,3.61,0.25,43
0.4,150,3.61,0.25,43
0.5,150,3.61,0.25,43
0.6,150,3.61,0.25,43
0.7,150,3.61,0.25,43
0.8,150,3.61,0.25,43
0.9,150,3.61,0.25,43
1.0,150,3.62,0.25,43
0.0,200,3.61,0.25,43
0.1,200,3.59,0.25,43
0.2,200,3.59,0.25,43
0.3,200,3.59,0.25,43
0.4,200,3.59,0.25,43
0.5,200,3.59,0.25,43
0.6,200,3.59,0.25,43
0.7,200,3.59,0.25,43
0.8,200,3.59,0.25,43
0.9,200,3.6,0.25,43
1.0,200,3.6,0.25,43
0.0,250,3.61,0.25,43
0.1,250,3.59,0.25,43
0.2,250,3.59,0.25,43
0.3,250,3.59,0.25,43
0.4,250,3.59,0.25,43
0.5,250,3.59,0.25,43
0.6,250,3.59,0.25,43
0.7,250,3.59,0.25,43
0.8,250,3.59,0.25,43
0.9,250,3.62,0.25,43
1.0,250,3.61,0.25,43
0.0,300,3.62,0.25,43
0.1,300,3.59,0.25,43
0.2,300,3.59,0.25,43
0.3,300,3.59,0.25,43
0.4,300,3.59,0.25,43
0.5,300,3.59,0.25,43
0.6,300,3.59,0.25,43
0.7,300,3.59,0.25,43
0.8,300,3.59,0.25,43
0.9,300,3.61,0.25,43
1.0,300,3.59,0.25,43
0.0,50,5.12,0.3,43
0.1,50,5.1,0.3,43
0.2,50,5.1,0.3,43
0.3,50,5.1,0.3,43
0.4,50,5.1,0.3,43
0.5,50,5.1,0.3,43
0.6,50,5.1,0.3,43
0.7,50,5.11,0.3,43
0.8,50,5.14,0.3,43
0.9,50,5.17,0.3,43
1.0,50,5.18,0.3,43
0.0,100,5.05,0.3,43
0.1,100,5.04,0.3,43
0.2,100,5.04,0.3,43
0.3,100,5.04,0.3,43
0.4,100,5.04,0.3,43
0.5,100,5.04,0.3,43
0.6,100,5.04,0.3,43
0.7,100,5.04,0.3,43
0.8,100,5.05,0.3,43
0.9,100,5.07,0.3,43
1.0,100,5.13,0.3,43
0.0,150,5.03,0.3,43
0.1,150,5.02,0.3,43
0.2,150,5.02,0.3,43
0.3,150,5.02,0.3,43
0.4,150,5.02,0.3,43
0.5,150,5.02,0.3,43
0.6,150,5.02,0.3,43
0.7,150,5.02,0.3,43
0.8,150,5.03,0.3,43
0.9,150,5.07,0.3,43
1.0,150,5.07,0.3,43
0.0,200,5.02,0.3,43
0.1,200,4.99,0.3,43
0.2,200,4.99,0.3,43
0.3,200,4.99,0.3,43
0.4,200,4.99,0.3,43
0.5,200,4.99,0.3,43
0.6,200,4.99,0.3,43
0.7,200,5.0,0.3,43
0.8,200,5.02,0.3,43
0.9,200,5.07,0.3,43
1.0,200,5.09,0.3,43
0.0,250,5.01,0.3,43
0.1,250,4.99,0.3,43
0.2,250,4.99,0.3,43
0.3,250,4.99,0.3,43
0.4,250,4.99,0.3,43
0.5,250,4.99,0.3,43
0.6,250,4.99,0.3,43
0.7,250,4.99,0.3,43
0.8,250,5.01,0.3,43
0.9,250,5.05,0.3,43
1.0,250,5.08,0.3,43
0.0,300,4.97,0.3,43
0.1,300,4.98,0.3,43
0.2,300,4.98,0.3,43
0.3,300,4.98,0.3,43
0.4,300,4.98,0.3,43
0.5,300,4.98,0.3,43
0.6,300,4.98,0.3,43
0.7,300,4.97,0.3,43
0.8,300,5.0,0.3,43
0.9,300,5.05,0.3,43
1.0,300,5.08,0.3,43
0.0,50,7.95,0.35,43
0.1,50,7.93,0.35,43
0.2,50,7.93,0.35,43
0.3,50,7.93,0.35,43
0.4,50,7.94,0.35,43
0.5,50,7.98,0.35,43
0.6,50,8.08,0.35,43
0.7,50,8.2,0.35,43
0.8,50,8.29,0.35,43
0.9,50,8.39,0.35,43
1.0,50,8.41,0.35,43
0.0,100,7.76,0.35,43
0.1,100,7.75,0.35,43
0.2,100,7.75,0.35,43
0.3,100,7.75,0.35,43
0.4,100,7.75,0.35,43
0.5,100,7.77,0.35,43
0.6,100,7.87,0.35,43
0.7,100,8.02,0.35,43
0.8,100,8.13,0.35,43
0.9,100,8.21,0.35,43
1.0,100,8.28,0.35,43
0.0,150,7.65,0.35,43
0.1,150,7.68,0.35,43
0.2,150,7.68,0.35,43
0.3,150,7.68,0.35,43
0.4,150,7.68,0.35,43
0.5,150,7.69,0.35,43
0.6,150,7.8,0.35,43
0.7,150,7.9,0.35,43
0.8,150,8.05,0.35,43
0.9,150,8.14,0.35,43
1.0,150,8.22,0.35,43
0.0,200,7.61,0.35,43
0.1,200,7.62,0.35,43
0.2,200,7.62,0.35,43
0.3,200,7.62,0.35,43
0.4,200,7.62,0.35,43
0.5,200,7.67,0.35,43
0.6,200,7.76,0.35,43
0.7,200,7.89,0.35,43
0.8,200,8.01,0.35,43
0.9,200,8.11,0.35,43
1.0,200,8.17,0.35,43
0.0,250,7.58,0.35,43
0.1,250,7.59,0.35,43
0.2,250,7.59,0.35,43
0.3,250,7.59,0.35,43
0.4,250,7.59,0.35,43
0.5,250,7.65,0.35,43
0.6,250,7.74,0.35,43
0.7,250,7.84,0.35,43
0.8,250,7.97,0.35,43
0.9,250,8.08,0.35,43
1.0,250,8.13,0.35,43
0.0,300,7.56,0.35,43
0.1,300,7.57,0.35,43
0.2,300,7.57,0.35,43
0.3,300,7.57,0.35,43
0.4,300,7.57,0.35,43
0.5,300,7.6,0.35,43
0.6,300,7.7,0.35,43
0.7,300,7.84,0.35,43
0.8,300,7.97,0.35,43
0.9,300,8.06,0.35,43
1.0,300,8.15,0.35,43
0.0,50,17.93,0.4,43
0.1,50,17.9,0.4,43
0.2,50,18.02,0.4,43
0.3,50,20.45,0.4,43
0.4,50,23.34,0.4,43
0.5,50,23.82,0.4,43
0.6,50,24.44,0.4,43
0.7,50,24.66,0.4,43
0.8,50,24.88,0.4,43
0.9,50,25.02,0.4,43
1.0,50,25.15,0.4,43
0.0,100,16.45,0.4,43
0.1,100,16.45,0.4,43
0.2,100,16.49,0.4,43
0.3,100,17.99,0.4,43
0.4,100,21.0,0.4,43
0.5,100,21.81,0.4,43
0.6,100,22.35,0.4,43
0.7,100,22.75,0.4,43
0.8,100,22.95,0.4,43
0.9,100,23.2,0.4,43
1.0,100,23.28,0.4,43
0.0,150,15.9,0.4,43
0.1,150,15.88,0.4,43
0.2,150,15.89,0.4,43
0.3,150,17.1,0.4,43
0.4,150,20.03,0.4,43
0.5,150,21.03,0.4,43
0.6,150,21.5,0.4,43
0.7,150,21.99,0.4,43
0.8,150,22.18,0.4,43
0.9,150,22.44,0.4,43
1.0,150,22.6,0.4,43
0.0,200,15.59,0.4,43
0.1,200,15.57,0.4,43
0.2,200,15.57,0.4,43
0.3,200,16.68,0.4,43
0.4,200,19.47,0.4,43
0.5,200,20.57,0.4,43
0.6,200,21.07,0.4,43
0.7,200,21.59,0.4,43
0.8,200,21.82,0.4,43
0.9,200,22.04,0.4,43
1.0,200,22.22,0.4,43
0.0,250,15.4,0.4,43
0.1,250,15.41,0.4,43
0.2,250,15.41,0.4,43
0.3,250,16.41,0.4,43
0.4,250,19.09,0.4,43
0.5,250,20.29,0.4,43
0.6,250,20.8,0.4,43
0.7,250,21.33,0.4,43
0.8,250,21.56,0.4,43
0.9,250,21.83,0.4,43
1.0,250,21.99,0.4,43
0.0,300,15.28,0.4,43
0.1,300,15.29,0.4,43
0.2,300,15.29,0.4,43
0.3,300,16.21,0.4,43
0.4,300,18.85,0.4,43
0.5,300,20.11,0.4,43
0.6,300,20.6,0.4,43
0.7,300,21.15,0.4,43
0.8,300,21.39,0.4,43
0.9,300,21.65,0.4,43
1.0,300,21.84,0.4,43
0.1,50,0.54,0.0,52
0.2,50,0.54,0.0,52
0.3,50,0.54,0.0,52
0.4,50,0.54,0.0,52
0.5,50,0.54,0.0,52
0.6,50,0.54,0.0,52
0.7,50,0.54,0.0,52
0.8,50,0.54,0.0,52
0.9,50,0.54,0.0,52
1.0,50,0.54,0.0,52
0.0,100,0.55,0.0,52
0.1,100,0.54,0.0,52
0.2,100,0.54,0.0,52
0.3,100,0.54,0.0,52
0.4,100,0.54,0.0,52
0.5,100,0.54,0.0,52
0.6,100,0.54,0.0,52
0.7,100,0.54,0.0,52
0.8,100,0.54,0.0,52
0.9,100,0.54,0.0,52
1.0,100,0.54,0.0,52
0.0,150,0.54,0.0,52
0.2,150,0.56,0.0,52
0.3,150,0.56,0.0,52
0.4,150,0.56,0.0,52
0.5,150,0.56,0.0,52
0.6,150,0.56,0.0,52
0.7,150,0.56,0.0,52
0.8,150,0.56,0.0,52
0.9,150,0.56,0.0,52
1.0,150,0.56,0.0,52
0.0,200,0.56,0.0,52
0.2,200,0.54,0.0,52
0.3,200,0.54,0.0,52
0.4,200,0.54,0.0,52
0.5,200,0.54,0.0,52
0.6,200,0.54,0.0,52
0.7,200,0.54,0.0,52
0.8,200,0.54,0.0,52
0.9,200,0.54,0.0,52
1.0,200,0.54,0.0,52
0.1,250,0.57,0.0,52
0.2,250,0.57,0.0,52
0.3,250,0.57,0.0,52
0.4,250,0.57,0.0,52
0.5,250,0.57,0.0,52
0.6,250,0.57,0.0,52
0.7,250,0.57,0.0,52
0.8,250,0.57,0.0,52
0.9,250,0.57,0.0,52
1.0,250,0.57,0.0,52
0.1,300,0.53,0.0,52
0.2,300,0.53,0.0,52
0.3,300,0.53,0.0,52
0.4,300,0.53,0.0,52
0.5,300,0.53,0.0,52
0.6,300,0.53,0.0,52
0.7,300,0.53,0.0,52
0.8,300,0.53,0.0,52
0.9,300,0.53,0.0,52
1.0,300,0.53,0.0,52
0.0,50,1.97,0.05,52
0.1,50,1.94,0.05,52
0.2,50,1.94,0.05,52
0.3,50,1.94,0.05,52
0.4,50,1.94,0.05,52
0.5,50,1.94,0.05,52
0.6,50,1.94,0.05,52
0.7,50,1.94,0.05,52
0.8,50,1.94,0.05,52
0.9,50,1.94,0.05,52
1.0,50,1.94,0.05,52
0.0,100,1.93,0.05,52
0.1,100,1.91,0.05,52
0.2,100,1.91,0.05,52
0.3,100,1.91,0.05,52
0.4,100,1.91,0.05,52
0.5,100,1.91,0.05,52
0.6,100,1.91,0.05,52
0.7,100,1.91,0.05,52
0.8,100,1.91,0.05,52
0.9,100,1.91,0.05,52
1.0,100,1.91,0.05,52
0.0,150,1.93,0.05,52
0.1,150,1.93,0.05,52
0.2,150,1.93,0.05,52
0.3,150,1.93,0.05,52
0.4,150,1.93,0.05,52
0.5,150,1.93,0.05,52
0.6,150,1.93,0.05,52
0.7,150,1.93,0.05,52
0.8,150,1.93,0.05,52
0.9,150,1.93,0.05,52
1.0,150,1.93,0.05,52
0.0,200,1.89,0.05,52
0.1,200,1.93,0.05,52
0.2,200,1.93,0.05,52
0.3,200,1.93,0.05,52
0.4,200,1.93,0.05,52
0.5,200,1.93,0.05,52
0.6,200,1.93,0.05,52
0.7,200,1.93,0.05,52
0.8,200,1.93,0.05,52
0.9,200,1.93,0.05,52
1.0,200,1.93,0.05,52
0.0,250,1.9,0.05,52
0.1,250,1.91,0.05,52
0.2,250,1.91,0.05,52
0.3,250,1.91,0.05,52
0.4,250,1.91,0.05,52
0.5,250,1.91,0.05,52
0.6,250,1.91,0.05,52
