freq,amp,stime
0.18,41,11.71
0.2,41,11.71
0.22,41,11.71
0.24,41,11.71
0.26,41,11.71
0.28,41,11.73
0.3,41,11.98
0.32,41,12.82
0.34,41,26.02
0.36,41,98.87
0.0,42,11.48
0.02,42,11.51
0.04,42,11.51
0.06,42,11.51
0.08,42,11.51
0.1,42,11.51
0.12,42,11.51
0.14,42,11.51
0.16,42,11.51
0.18,42,11.51
0.2,42,11.51
0.22,42,11.51
0.24,42,11.51
0.26,42,11.51
0.28,42,11.5
0.3,42,11.66
0.32,42,12.27
0.34,42,14.68
0.36,42,45.9
0.0,43,11.31
0.02,43,11.33
0.04,43,11.33
0.06,43,11.33
0.08,43,11.33
0.1,43,11.33
0.12,43,11.33
0.14,43,11.33
0.16,43,11.33
0.18,43,11.33
0.2,43,11.33
0.22,43,11.33
0.24,43,11.33
0.26,43,11.33
0.28,43,11.3
0.3,43,11.39
0.32,43,11.84
0.34,43,13.18
0.36,43,29.93
0.0,44,11.14
0.02,44,11.1
0.04,44,11.1
0.06,44,11.1
0.08,44,11.1
0.1,44,11.1
0.12,44,11.1
0.14,44,11.1
0.16,44,11.1
0.18,44,11.1
0.2,44,11.1
0.22,44,11.1
0.24,44,11.1
0.26,44,11.1
0.28,44,11.1
0.3,44,11.17
0.32,44,11.54
0.34,44,12.47
0.36,44,22.82
0.38,44,52.47
0.0,45,10.97
0.02,45,10.94
0.04,45,10.94
0.06,45,10.94
0.08,45,10.94
0.1,45,10.94
0.12,45,10.94
0.14,45,10.94
0.16,45,10.94
0.18,45,10.94
0.2,45,10.94
0.22,45,10.94
0.24,45,10.94
0.26,45,10.94
0.28,45,10.94
0.3,45,10.99
0.32,45,11.26
0.34,45,11.87
0.36,45,14.43
0.38,45,34.13
0.0,46,10.82
0.02,46,10.79
0.04,46,10.79
0.06,46,10.79
0.08,46,10.79
0.1,46,10.79
0.12,46,10.79
0.14,46,10.79
0.16,46,10.79
0.18,46,10.79
0.2,46,10.79
0.22,46,10.79
0.24,46,10.79
0.26,46,10.79
0.28,46,10.79
0.3,46,10.84
0.32,46,10.99
0.34,46,11.5
0.36,46,13.04
0.38,46,28.02
0.4,46,63.62
0.0,47,10.68
0.02,47,10.65
0.04,47,10.65
0.06,47,10.65
0.08,47,10.65
0.1,47,10.65
0.12,47,10.65
0.14,47,10.65
0.16,47,10.65
0.18,47,10.65
0.2,47,10.65
0.22,47,10.65
0.24,47,10.65
0.26,47,10.65
0.28,47,10.65
0.3,47,10.66
0.32,47,10.75
0.34,47,11.16
0.36,47,12.25
0.38,47,24.2
0.4,47,42.89
0.0,48,10.54
0.02,48,10.52
0.04,48,10.52
0.06,48,10.52
0.08,48,10.52
0.1,48,10.52
0.12,48,10.52
0.14,48,10.52
0.16,48,10.52
0.18,48,10.52
0.2,48,10.52
0.22,48,10.52
0.24,48,10.52
0.26,48,10.52
0.28,48,10.52
0.3,48,10.54
0.32,48,10.59
0.34,48,10.96
0.36,48,11.74
0.38,48,15.02
0.4,48,30.8
0.42,48,84.5
0.0,49,10.42
0.02,49,10.39
0.04,49,10.39
0.06,49,10.39
0.08,49,10.39
0.1,49,10.39
0.12,49,10.39
0.14,49,10.39
0.16,49,10.39
0.18,49,10.39
0.2,49,10.39
0.22,49,10.39
0.24,49,10.39
0.26,49,10.39
0.28,49,10.39
0.3,49,10.39
0.32,49,10.47
0.34,49,10.69
0.36,49,11.31
0.38,49,13.2
0.4,49,26.88
0.42,49,53.66
0.0,50,10.3
0.02,50,10.27
0.04,50,10.27
0.06,50,10.27
0.08,50,10.27
0.1,50,10.27
0.12,50,10.27
0.14,50,10.27
0.16,50,10.27
0.18,50,10.27
0.2,50,10.27
0.22,50,10.27
0.24,50,10.27
0.26,50,10.27
0.28,50,10.27
0.3,50,10.27
0.32,50,10.33
0.34,50,10.53
0.36,50,11.03
0.38,50,12.3
0.4,50,24.62
0.42,50,40.0
0.0,51,10.18
0.02,51,10.16
0.04,51,10.16
0.06,51,10.16
0.08,51,10.16
0.1,51,10.16
0.12,51,10.16
0.14,51,10.16
0.16,51,10.16
0.18,51,10.16
0.2,51,10.16
0.22,51,10.16
0.24,51,10.16
0.26,51,10.16
0.28,51,10.16
0.3,51,10.16
0.32,51,10.18
0.34,51,10.35
0.36,51,10.73
0.38,51,11.73
0.4,51,18.46
0.42,51,30.33
0.44,51,65.43
0.0,52,10.08
0.02,52,10.05
0.04,52,10.05
0.06,52,10.05
0.08,52,10.05
0.1,52,10.05
0.12,52,10.05
0.14,52,10.05
0.16,52,10.05
0.18,52,10.05
0.2,52,10.05
0.22,52,10.05
0.24,52,10.05
0.26,52,10.05
0.28,52,10.05
0.3,52,10.05
0.32,52,10.07
0.34,52,10.15
0.36,52,10.49
0.38,52,11.29
0.4,52,13.93
0.42,52,26.33
0.44,52,48.16
0.0,53,9.97
0.02,53,9.95
0.04,53,9.95
0.06,53,9.95
0.08,53,9.95
0.1,53,9.95
0.12,53,9.95
0.14,53,9.95
0.16,53,9.95
0.18,53,9.95
0.2,53,9.95
0.22,53,9.95
0.24,53,9.95
0.26,53,9.95
0.28,53,9.95
0.3,53,9.95
0.32,53,9.95
0.34,53,10.01
0.36,53,10.32
0.38,53,10.94
0.4,53,12.64
0.42,53,24.57
0.44,53,38.3
0.46,53,81.31
0.0,54,9.87
0.02,54,9.85
0.04,54,9.85
0.06,54,9.85
0.08,54,9.85
0.1,54,9.85
0.12,54,9.85
0.14,54,9.85
0.16,54,9.85
0.18,54,9.85
0.2,54,9.85
0.22,54,9.85
0.24,54,9.85
0.26,54,9.85
0.28,54,9.85
0.3,54,9.85
0.32,54,9.87
0.34,54,9.89
0.36,54,10.16
0.38,54,10.68
0.4,54,11.96
0.42,54,22.69
0.44,54,32.31
0.46,54,56.0
0.0,55,9.78
0.02,55,9.76
0.04,55,9.76
0.06,55,9.76
0.08,55,9.76
0.1,55,9.76
0.12,55,9.76
0.14,55,9.76
0.16,55,9.76
0.18,55,9.76
0.2,55,9.76
0.22,55,9.76
0.24,55,9.76
0.26,55,9.76
0.28,55,9.76
0.3,55,9.76
0.32,55,9.76
0.34,55,9.83
0.36,55,10.01
0.38,55,10.39
0.4,55,11.47
0.42,55,17.73
0.44,55,26.28
0.46,55,45.89
0.0,56,9.69
0.02,56,9.67
0.04,56,9.67
0.06,56,9.67
0.08,56,9.67
0.1,56,9.67
0.12,56,9.67
0.14,56,9.67
0.16,56,9.67
0.18,56,9.67
0.2,56,9.67
0.22,56,9.67
0.24,56,9.67
0.26,56,9.67
0.28,56,9.67
0.3,56,9.67
0.32,56,9.67
0.34,56,9.71
0.36,56,9.87
0.38,56,10.22
0.4,56,11.08
0.42,56,13.95
0.44,56,24.52
0.46,56,37.39
0.48,56,72.24
0.0,57,9.61
0.02,57,9.58
0.04,57,9.58
0.06,57,9.58
0.08,57,9.58
0.1,57,9.58
0.12,57,9.58
0.14,57,9.58
0.16,57,9.58
0.18,57,9.58
0.2,57,9.58
0.22,57,9.58
0.24,57,9.58
0.26,57,9.58
0.28,57,9.58
0.3,57,9.58
0.32,57,9.58
0.34,57,9.59
0.36,57,9.74
0.38,57,10.04
0.4,57,10.71
0.42,57,12.68
0.44,57,23.22
0.46,57,34.2
0.48,57,52.62
0.0,58,9.52
0.02,58,9.5
0.04,58,9.5
0.06,58,9.5
0.08,58,9.5
0.1,58,9.5
0.12,58,9.5
0.14,58,9.5
0.16,58,9.5
0.18,58,9.5
0.2,58,9.5
0.22,58,9.5
0.24,58,9.5
0.26,58,9.5
0.28,58,9.5
0.3,58,9.5
0.32,58,9.5
0.34,58,9.53
0.36,58,9.61
0.38,58,9.87
0.4,58,10.49
0.42,58,11.89
0.44,58,21.89
0.46,58,27.41
0.48,58,45.7
0.5,58,95.96
0.0,59,9.44
0.02,59,9.43
0.04,59,9.43
0.06,59,9.43
0.08,59,9.43
0.1,59,9.43
0.12,59,9.43
0.14,59,9.43
0.16,59,9.43
0.18,59,9.43
0.2,59,9.43
0.22,59,9.43
0.24,59,9.43
0.26,59,9.43
0.28,59,9.43
0.3,59,9.43
0.32,59,9.43
0.34,59,9.44
0.36,59,9.48
0.38,59,9.71
0.4,59,10.26
0.42,59,11.35
0.44,59,19.06
0.46,59,24.84
0.48,59,37.08
0.5,59,66.76
0.0,60,9.37
0.02,60,9.35
0.04,60,9.35
0.06,60,9.35
0.08,60,9.35
0.1,60,9.35
0.12,60,9.35
0.14,60,9.35
0.16,60,9.35
0.18,60,9.35
0.2,60,9.35
0.22,60,9.35
0.24,60,9.35
0.26,60,9.35
0.28,60,9.35
0.3,60,9.35
0.32,60,9.35
0.34,60,9.37
0.36,60,9.44
0.38,60,9.58
0.4,60,10.05
0.42,60,11.02
0.44,60,15.01
0.46,60,23.56
0.48,60,34.42
0.5,60,52.52
0.0,61,9.3
0.02,61,9.28
0.04,61,9.28
0.06,61,9.28
0.08,61,9.28
0.1,61,9.28
0.12,61,9.28
0.14,61,9.28
0.16,61,9.28
0.18,61,9.28
0.2,61,9.28
0.22,61,9.28
0.24,61,9.28
0.26,61,9.28
0.28,61,9.28
0.3,61,9.28
0.32,61,9.28
0.34,61,9.29
0.36,61,9.34
