switch_amplitude,switch_frequency
30,0.0
48,0.02
212,0.04
41,0.06
33,0.08
34,0.1
42,0.12
36,0.14
37,0.16
38,0.18
39,0.2
41,0.22
42,0.24
43,0.26
45,0.28
46,0.3
47,0.32
49,0.34
50,0.36
52,0.38
53,0.4
54,0.42
55,0.44
57,0.46
58,0.48
59,0.5
61,0.52
62,0.54
63,0.56
64,0.58
65,0.6
66,0.62
67,0.64
68,0.66
69,0.68
70,0.7
71,0.72
72,0.74
73,0.76
74,0.78
75,0.8
76,0.82
77,0.84
78,0.86
79,0.88
79,0.9
80,0.92
81,0.94
82,0.96
82,0.98
83,1.0
84,1.02
85,1.04
85,1.06
86,1.08
86,1.1
87,1.12
88,1.14
88,1.16
89,1.18
89,1.2
90,1.22
91,1.24
91,1.26
91,1.28
92,1.3
93,1.32
93,1.34
93,1.36
94,1.38
94,1.4
95,1.42
95,1.44
95,1.46
96,1.48
96,1.5
97,1.52
97,1.54
97,1.56
97,1.58
98,1.6
98,1.62
98,1.64
99,1.66
99,1.68
99,1.7
99,1.72
100,1.74
100,1.76
100,1.78
100,1.8
101,1.82
101,1.84
101,1.86
101,1.88
101,1.9
102,1.92
102,1.94
102,1.96
102,1.98
102,2.0
102,2.02
103,2.04
103,2.06
103,2.08
103,2.1
103,2.12
103,2.14
103,2.16
104,2.18
104,2.2
104,2.22
104,2.24
104,2.26
104,2.28
104,2.3
104,2.32
104,2.34
104,2.36
105,2.38
105,2.4
105,2.42
105,2.44
105,2.46
105,2.48
105,2.5
105,2.52
105,2.54
105,2.56
105,2.58
105,2.6
105,2.62
105,2.64
105,2.66
106,2.68
106,2.7
106,2.72
106,2.74
106,2.76
106,2.78
106,2.8
106,2.82
106,2.84
106,2.86
106,2.88
106,2.9
106,2.92
106,2.94
106,2.96
106,2.98
106,3.0
