freq,amp,stime,prc2,gene_id
0.85,100,1.7,0.05,49
0.9,100,1.7,0.05,49
0.95,100,1.7,0.05,49
1.0,100,1.7,0.05,49
0.0,150,1.69,0.05,49
0.05,150,1.67,0.05,49
0.1,150,1.67,0.05,49
0.15,150,1.67,0.05,49
0.2,150,1.67,0.05,49
0.25,150,1.67,0.05,49
0.3,150,1.67,0.05,49
0.35,150,1.67,0.05,49
0.4,150,1.67,0.05,49
0.45,150,1.67,0.05,49
0.5,150,1.67,0.05,49
0.55,150,1.67,0.05,49
0.6,150,1.67,0.05,49
0.65,150,1.67,0.05,49
0.7,150,1.67,0.05,49
0.75,150,1.67,0.05,49
0.8,150,1.67,0.05,49
0.85,150,1.67,0.05,49
0.9,150,1.67,0.05,49
0.95,150,1.67,0.05,49
1.0,150,1.67,0.05,49
0.0,200,1.65,0.05,49
0.05,200,1.68,0.05,49
0.1,200,1.68,0.05,49
0.15,200,1.68,0.05,49
0.2,200,1.68,0.05,49
0.25,200,1.68,0.05,49
0.3,200,1.68,0.05,49
0.35,200,1.68,0.05,49
0.4,200,1.68,0.05,49
0.45,200,1.68,0.05,49
0.5,200,1.68,0.05,49
0.55,200,1.68,0.05,49
0.6,200,1.68,0.05,49
0.65,200,1.68,0.05,49
0.7,200,1.68,0.05,49
0.75,200,1.68,0.05,49
0.8,200,1.68,0.05,49
0.85,200,1.68,0.05,49
0.9,200,1.68,0.05,49
0.95,200,1.68,0.05,49
1.0,200,1.68,0.05,49
0.0,250,1.63,0.05,49
0.05,250,1.67,0.05,49
0.1,250,1.67,0.05,49
0.15,250,1.67,0.05,49
0.2,250,1.67,0.05,49
0.25,250,1.67,0.05,49
0.3,250,1.67,0.05,49
0.35,250,1.67,0.05,49
0.4,250,1.67,0.05,49
0.45,250,1.67,0.05,49
0.5,250,1.67,0.05,49
0.55,250,1.67,0.05,49
0.6,250,1.67,0.05,49
0.65,250,1.67,0.05,49
0.7,250,1.67,0.05,49
0.75,250,1.67,0.05,49
0.8,250,1.67,0.05,49
0.85,250,1.67,0.05,49
0.9,250,1.67,0.05,49
